"28","No dudes, actúa."
"29","El niño es realista; el muchacho, idealista; el hombre, escéptico, y el viejo, místico"
"24","Quien siembra vientos recoge tempestades  "
"25","Un grano no hace granero, pero ayuda a su compañer"
"26","La arquitectura es el arte de organizar el espacio"
"27","El amor actúa con el corazón y no con la cabeza. "
"20","Calavera no chilla"
"21","La gota que rebasó el vaso"
"22","La suegra y el doctor, cuanto más lejos, mejor"
"23","A la mujer picaresca, cualquiera la pesca."
"40","El Canapé salió espectacular"
"41","El Canapé salió delicioso"
"42","El Canapé salió riquísimo"
"43","El Repollo salió espectacular"
"44","El Repollo salió delicioso"
"45","El Repollo salió riquísimo"
"46","El Espárrago salió espectacular"
"47","El Espárrago salió delicioso"
"48","El Espárrago salió riquísimo"
"2","La tercera es la vencida"
"4","El pez por la boca muere"
"6","Más vale pájaro en mano que 100 volando"
"8","Río revuelto, ganancia de pescadores"
"11","Más perdido que turco en la neblina"
"10","Más difícil que encontrar una aguja en un paja"
"13","Todo bicho que camina va al asador"
"12","No le busques la quinta pata al gato"
"15","Se te escapó la tortuga"
"14","Caminante no hay camino, se hace camino al andar"
"17","No hay mal que dure 100 años "
"16","Todos los caminos conducen a Roma"
"19","Cría cuervos, que te sacarán los ojos "
"18","Siempre que llovió par"
"1","No hay dos sin tres"
"3","Perro que ladra no muerde"
"5","En boca cerrada no entran moscas"
"7","La curiosidad mató al gato"
"9","No hay que pedirle peras al olmo"
"33","La batalla más difícil la tengo todos los días conmigo mismo"
"32","No está mal ser bella; lo que está mal es la obligación de serlo"
"31","La belleza que atrae rara vez coincide con la belleza que enamora"
"30","La música es sinónimo de libertad, de tocar lo que quieras y como quieras"
"36","La lectura es a la mente lo que el ejercicio al cuerpo"
"35","En la pelea, se conoce al soldado; sólo en la victoria, se conoce al caballero"
"34","El que no llora, no mama"
"Fin phrases"
"15","21","26","45","33","11","35","40","8","16","19","48","18","9","22","43","3","32","41","28","4","5","47","31","10","44","7","1","42","27","46","24","34","30","23","6","36","20","12","2"
"35","15","21","40","5","45","10","47","1","42","31","9","43","28","3","36","46","18","8","26","41","16","34","44","12","30","48","32","2","7","6","22","33","23","4","24","27","20","11","19"
"16","48","35","41","8","5","43","18","47","9","27","24","42","10","34","33","44","22","3","19","46","2","23","40","26","45","36","20","21","4","12","31","30","15","28","7","11","32","6","1"
"36","32","23","44","24","42","12","20","10","47","35","16","43","5","30","28","40","3","18","48","26","19","45","8","31","41","33","46","7","4","22","2","15","1","21","27","6","34","9","11"
"33","3","8","44","28","41","18","46","9","26","45","24","23","40","31","16","48","27","43","10","1","34","42","6","36","47","5","32","21","4","22","20","19","15","11","7","35","12","2","30"
"32","15","48","36","21","44","6","41","2","33","27","46","3","9","8","45","20","22","30","42","7","47","19","18","43","12","5","28","40","35","24","4","34","10","23","1","16","26","31","11"
"24","35","48","15","43","19","40","11","20","6","46","36","44","3","8","31","42","30","22","47","21","1","45","33","26","41","23","34","28","16","2","32","10","5","7","27","9","18","4","12"
"24","18","47","28","23","42","19","32","43","11","26","48","3","40","15","45","5","20","33","46","22","21","41","8","9","44","35","16","1","36","12","31","6","30","7","27","4","34","2","10"
"34","44","5","27","21","47","33","4","40","28","3","45","30","15","48","11","41","35","43","26","1","46","7","42","8","18","2","6","16","20","19","36","32","12","23","10","24","22","31","9"
"16","41","27","15","34","45","30","22","32","48","10","42","24","43","8","35","47","11","2","3","40","26","44","18","46","9","5","20","19","7","6","36","33","23","28","21","1","31","12","4"
