=== Run information ===

Evaluator:    weka.attributeSelection.InfoGainAttributeEval 
Search:weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     bsas-cba_DB
Instances:    304
Attributes:   416
[list of attributes omitted]
Evaluation mode:evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 416 place):
	Information Gain Ranking Filter

Ranked attributes:
 0.07231     399 FON_consonant_norm
 0.07217     410 FON_vowel_norm
 0.03963     415 SIL_syllableAccent_normhd
 0.03963     413 SIL_prevSyllableAccent_normhd
 0.02332     403 FON_ll_norm
 0.02285     397 FON_Sfinal_norm
 0.02226     299 ACU_MinLL_1
 0.02144      35 ACU_AverageLL_1
 0.01851     398 FON_Sfinal_normhd
 0.01438     171 ACU_MaxLL_5
 0.01232     148 ACU_MaxKT_15
 0.01219     172 ACU_MaxLL_6
 0.01122     177 ACU_MaxLL_11
 0.01071     160 ACU_MaxKT_27
 0.00998       6 ACU_AverageKT_5
 0.00998     288 ACU_MinKT_23
 0.00949     317 ACU_MinLL_19
 0.00949     329 ACU_MinLL_31
 0.00905      39 ACU_AverageLL_5
 0.00895     181 ACU_MaxLL_15
 0.00857     404 FON_ll_normhd
 0.00836     302 ACU_MinLL_4
 0.00836     178 ACU_MaxLL_12
 0.00829     173 ACU_MaxLL_7
 0.00829     174 ACU_MaxLL_8
 0.00796     138 ACU_MaxKT_5
 0.00768     175 ACU_MaxLL_9
 0.00759     135 ACU_MaxKT_2
 0.00724     406 FON_rr_norm
 0.00679     182 ACU_MaxLL_16
 0.00658     407 FON_rr_normhd
 0.00565     243 ACU_MaxSC_11
 0.00538      82 ACU_AverageRR_15
 0.00523     333 ACU_MinRR_2
 0.00474     239 ACU_MaxSC_7
 0.00474     241 ACU_MaxSC_9
 0.00472     237 ACU_MaxSC_5
 0.00468     214 ACU_MaxRR_15
 0.00459     184 ACU_MaxLL_18
 0.00459     198 ACU_MaxLL_32
 0.00397     350 ACU_MinRR_19
 0.00397     362 ACU_MinRR_31
 0.00397      75 ACU_AverageRR_8
 0.00385     215 ACU_MaxRR_16
 0.00385     204 ACU_MaxRR_5
 0.00385     223 ACU_MaxRR_24
 0.00385     357 ACU_MinRR_26
 0.00382     391 ACU_MinSC_27
 0.00382     255 ACU_MaxSC_23
 0.00366     247 ACU_MaxSC_15
 0.0034      353 ACU_MinRR_22
 0.0034      359 ACU_MinRR_28
 0.0034      216 ACU_MaxRR_17
 0.0034      213 ACU_MaxRR_14
 0.00314     244 ACU_MaxSC_12
 0.00296     238 ACU_MaxSC_6
 0.00296     107 ACU_AverageSC_7
 0.00296     246 ACU_MaxSC_14
 0.00296     109 ACU_AverageSC_9
 0.00281     110 ACU_AverageSC_10
 0           115 ACU_AverageSC_15
 0           117 ACU_AverageSC_17
 0           116 ACU_AverageSC_16
 0           113 ACU_AverageSC_13
 0           114 ACU_AverageSC_14
 0           111 ACU_AverageSC_11
 0           112 ACU_AverageSC_12
 0           139 ACU_MaxKT_6
 0           141 ACU_MaxKT_8
 0           140 ACU_MaxKT_7
 0           136 ACU_MaxKT_3
 0           137 ACU_MaxKT_4
 0           124 ACU_AverageSC_24
 0           123 ACU_AverageSC_23
 0           122 ACU_AverageSC_22
 0           128 ACU_AverageSC_28
 0           127 ACU_AverageSC_27
 0           142 ACU_MaxKT_9
 0           126 ACU_AverageSC_26
 0           125 ACU_AverageSC_25
 0           129 ACU_AverageSC_29
 0           121 ACU_AverageSC_21
 0           119 ACU_AverageSC_19
 0           130 ACU_AverageSC_30
 0           134 ACU_MaxKT_1
 0           133 ACU_MaxKT_0
 0           132 ACU_AverageSC_32
 0           131 ACU_AverageSC_31
 0           120 ACU_AverageSC_20
 0           118 ACU_AverageSC_18
 0            13 ACU_AverageKT_12
 0           143 ACU_MaxKT_10
 0           169 ACU_MaxLL_3
 0             5 ACU_AverageKT_4
 0           170 ACU_MaxLL_4
 0           168 ACU_MaxLL_2
 0           176 ACU_MaxLL_10
 0           167 ACU_MaxLL_1
 0           166 ACU_MaxLL_0
 0             4 ACU_AverageKT_3
 0             3 ACU_AverageKT_2
 0           144 ACU_MaxKT_11
 0           185 ACU_MaxLL_19
 0           187 ACU_MaxLL_21
 0           186 ACU_MaxLL_20
 0           183 ACU_MaxLL_17
 0           179 ACU_MaxLL_13
 0             2 ACU_AverageKT_1
 0           180 ACU_MaxLL_14
 0           165 ACU_MaxKT_32
 0           164 ACU_MaxKT_31
 0           163 ACU_MaxKT_30
 0           108 ACU_AverageSC_8
 0           151 ACU_MaxKT_18
 0           150 ACU_MaxKT_17
 0           147 ACU_MaxKT_14
 0           162 ACU_MaxKT_29
 0           146 ACU_MaxKT_13
 0           145 ACU_MaxKT_12
 0           152 ACU_MaxKT_19
 0           153 ACU_MaxKT_20
 0           154 ACU_MaxKT_21
 0           155 ACU_MaxKT_22
 0           161 ACU_MaxKT_28
 0           159 ACU_MaxKT_26
 0           158 ACU_MaxKT_25
 0           157 ACU_MaxKT_24
 0           156 ACU_MaxKT_23
 0           149 ACU_MaxKT_16
 0           104 ACU_AverageSC_4
 0             7 ACU_AverageKT_6
 0           106 ACU_AverageSC_6
 0            45 ACU_AverageLL_11
 0            46 ACU_AverageLL_12
 0            47 ACU_AverageLL_13
 0            44 ACU_AverageLL_10
 0            43 ACU_AverageLL_9
 0            42 ACU_AverageLL_8
 0            11 ACU_AverageKT_10
 0            40 ACU_AverageLL_6
 0            41 ACU_AverageLL_7
 0            48 ACU_AverageLL_14
 0            49 ACU_AverageLL_15
 0            50 ACU_AverageLL_16
 0            58 ACU_AverageLL_24
 0            59 ACU_AverageLL_25
 0            56 ACU_AverageLL_22
 0            57 ACU_AverageLL_23
 0            55 ACU_AverageLL_21
 0            51 ACU_AverageLL_17
 0            52 ACU_AverageLL_18
 0            53 ACU_AverageLL_19
 0            54 ACU_AverageLL_20
 0            38 ACU_AverageLL_4
 0            37 ACU_AverageLL_3
 0            36 ACU_AverageLL_2
 0            21 ACU_AverageKT_20
 0            22 ACU_AverageKT_21
 0            19 ACU_AverageKT_18
 0            20 ACU_AverageKT_19
 0            18 ACU_AverageKT_17
 0            24 ACU_AverageKT_23
 0            15 ACU_AverageKT_14
 0            16 ACU_AverageKT_15
 0            17 ACU_AverageKT_16
 0            23 ACU_AverageKT_22
 0            25 ACU_AverageKT_24
 0            12 ACU_AverageKT_11
 0            33 ACU_AverageKT_32
 0            34 ACU_AverageLL_0
 0            31 ACU_AverageKT_30
 0            32 ACU_AverageKT_31
 0            30 ACU_AverageKT_29
 0            26 ACU_AverageKT_25
 0            27 ACU_AverageKT_26
 0            28 ACU_AverageKT_27
 0            29 ACU_AverageKT_28
 0            60 ACU_AverageLL_26
 0            61 ACU_AverageLL_27
 0            62 ACU_AverageLL_28
 0            94 ACU_AverageRR_27
 0           189 ACU_MaxLL_23
 0            92 ACU_AverageRR_25
 0            93 ACU_AverageRR_26
 0            91 ACU_AverageRR_24
 0            96 ACU_AverageRR_29
 0            88 ACU_AverageRR_21
 0            89 ACU_AverageRR_22
 0            90 ACU_AverageRR_23
 0            95 ACU_AverageRR_28
 0             8 ACU_AverageKT_7
 0            86 ACU_AverageRR_19
 0            14 ACU_AverageKT_13
 0           105 ACU_AverageSC_5
 0           102 ACU_AverageSC_2
 0           103 ACU_AverageSC_3
 0           101 ACU_AverageSC_1
 0            97 ACU_AverageRR_30
 0            98 ACU_AverageRR_31
 0            99 ACU_AverageRR_32
 0           100 ACU_AverageSC_0
 0            87 ACU_AverageRR_20
